title,img,英文名称,批准文号,主要规格,用途,产品说明
鸟嘌呤核苷（鸟苷）,http://img1.pharmnet.com.cn/suppliers/product_cn/190188_1.jpg,Guanosine(GR),,,药物中间体，用于制造无环鸟苷、三氮唑核苷等,分子量(M.Wt.)：283.25含量(content)：98%98%min
7-AMCA,http://img1.pharmnet.com.cn/suppliers/product_cn/189706_1.gif,,,,,
头孢塞肟钠粉针剂,http://img1.pharmnet.com.cn/suppliers/product_cn/189699_1.gif,Cefotaxime Sodium for Injection,国药准字H21021774、国药准字H21021773、国药准字H20023424,按C16H17N5O7S2计算 (1)0.5g (2)1.0g,适用于敏感细菌所致的肺炎及其他下呼吸道感染、尿路感染、脑膜炎、败血症、腹腔感染、盆腔感染、皮肤软组织感染、生殖道感染、骨和关节感染等。头孢噻肟可以作为小儿脑膜炎的选用药物。,【性状】本品为白色，类白色或微黄白色结晶性粉末。【药理毒理】头孢噻肟为第三代头孢菌素，抗菌谱广，对大肠埃希菌、奇异变形杆菌、克雷伯菌属和沙门菌属等肠杆菌科细菌等革兰阴性菌有强大活性。对普通变形杆菌和枸橼酸杆菌属亦有良好作用。阴沟肠杆菌、产气肠杆菌对本品比较耐药。本品对铜绿假单胞菌和产碱杆菌无抗菌活性。头孢噻肟对流感杆菌、淋病奈瑟菌(包括产β内酰胺酶株)、脑膜炎奈瑟菌和卡他莫拉菌等均有强大作用。本品对金黄色葡萄球菌的抗菌活性较差，对溶血性链球菌、肺炎链球菌等革兰阳性球菌的活性强，肠球菌属对本品耐药。【不良反应】不良反应发生率低，约3%～5%。1.有皮疹和药物热、静脉炎、腹泻、恶心、呕吐、食欲不振等。2.碱性磷酸酶或血清氨基转移酶轻度升高、暂时性血尿素氮和肌酐升高等。3.白细胞减少、酸性粒细胞增多或血小板减少少见。4.偶见头痛、麻木、呼吸困难和面部潮红。5.极少数病人可发生粘膜念珠菌病。【禁忌症】对头孢菌素过敏者及有青霉素过敏性休克或即刻反应史者禁用本品。【注意事项】1.交叉过敏反应：对一种头孢菌素或头霉素过敏者对其他头孢菌素类或头霉素也可能过敏。对青霉素或青霉胺过敏者也可能对本品过敏。2.对诊断的干扰：应用本品的病人抗球蛋白(Coombs)试验可出现阳性；孕妇产前应用本品，此反应可出现于新生儿。用硫酸铜法测定尿糖可呈假阳性。血清碱性磷酸酶、血尿素氮、丙氨酸氨基转移酶、门冬氨酸氨基转移酶或血清乳酸脱氢酶值可增高。3.头孢噻肟钠1.05g约相当于1g头孢噻肟，每1g头孢噻肟钠含钠量约为2.2mmol(51mg)。1g头孢噻肟溶于14ml灭菌注射用水形成等渗溶液。4.配制肌内注射液时，0.5g、1.0g或2.0g的头孢噻肟分别加入2ml、3ml或5ml灭菌注射用水。供静脉注射的溶液，加至少10～20ml灭菌注射用水于上述不同量的头孢噻肟内，于5～10分钟内徐缓注入。静脉滴注时，将静脉注射液再用适当溶剂稀释至100～500ml。肌内注射剂量超过2g时，应分不同部位注射。5.肾功能减退者应在减少剂量情况下慎用；有胃肠道疾病或肾功能减退者慎用。6.本品与氨基糖苷类不可同瓶滴注。【孕妇及哺乳期妇女用药】本品可经乳汁排出，哺乳期妇女应用本品时虽无发生问题的报告，但应用本品时宜暂停哺乳。本品可透过血胎盘屏障进入胎儿血循环，孕妇应限用于有确切适应证的患者。【老年患者用药】老年患者用药根据肾功能适当减量。【儿童用药】婴幼儿不宜作肌内注射。【贮藏】密闭，在凉暗干燥处保存。【有效期】2年
独我红颜(七宝美髯口服液),http://img1.pharmnet.com.cn/suppliers/product_cn/202845_1.jpg,,国药准字Z10920048,每支装10ml,补肝肾。用于肝肾两虚，须发早白，盗汗，腰酸带下，筋骨萎弱，腰腿酸软，带下清稀。,
好记星（灵芝糖浆）,http://img1.pharmnet.com.cn/suppliers/product_cn/202846_1.jpg,,国药准字Z41020845,每瓶装60ml,养心安神，健脾和胃。用于心悸，失眠，食欲不振，神经衰弱。,
消食养胃片,http://img1.pharmnet.com.cn/suppliers/product_cn/202844_1.jpg,,国药准字Z20026257,每片0.3克,"和胃止呕，舒气宽胸。用于胃脾虚弱，消化不良引起的两肋胀满，胃脘作疼，饱胀嘈杂，呕吐酸水,面色萎黄，四肢倦怠。",
感冒解毒灵颗粒,http://img1.pharmnet.com.cn/suppliers/product_cn/202839_1.jpg,,国药准字Z20053949,每袋重5克,"解表散寒，宣肺止咳，清热解毒。用于感冒、头痛发烧,鼻塞流涕，咳嗽咽痛，肢体酸痛，亦可作防治流感常备药。",【性状】本品为棕色至深棕色的颗粒；气香，味苦。【作用类别】本品为感冒类非处方药药品。【贮藏】密封。【有效期】暂定一年半
益津降糖胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/202843_1.jpg,,国药准字Z20010086,每瓶装60或100粒。,健脾益气，生津止渴。用于气阴两虚型消渴病，证见：乏力自汗，口渴喜饮，多尿，多食善饥，舌苔花剥，少津，脉细少力，及Ⅱ型糖尿病见上述证候者。,
百咳静糖浆（儿童型）,http://img1.pharmnet.com.cn/suppliers/product_cn/202836_1.jpg,,国药准字Z41020835,每瓶装100ml(或120ml),清热化痰，平喘止咳。用于百日咳，感冒及急慢性气管炎引起的咳嗽。,"【性状】本品为黑褐色的液体;气香,味微苦涩。【作用类别】本品为内科咳嗽类非处方药药品"
活血通脉片,http://img1.pharmnet.com.cn/suppliers/product_cn/202842_1.jpg,,国药准字Z19993105,每片重0.3克。,活血通脉，强心镇痛。用于冠状动脉硬化引起的心绞痛，胸闷气短，心气不足，瘀血作痛。,
佐米曲普坦胶囊（瑙瑞安）,http://img1.pharmnet.com.cn/suppliers/product_cn/202801_1.jpg,,国药准字H20051005,2.5mg/粒×1粒/板×1板/盒，200盒/件。,适用于伴有或不伴有先兆症状的偏头疼的急性治疗。,【药理作用】佐米曲普坦是一种选择性5-HT1B/1D受体激动剂。通过激动颅内血管(包括动静脉吻合处)和三叉神经系统上的5-HT1B/1D受体，引起颅内血管收缩并抑制炎症神经肽的释放。用于成人先兆或非先兆偏头痛的治疗。【产品特点】1、起效快，用量小，疗效好，服用方便，复发率低。血药浓度可持效6小时，不仅能迅速缓解偏头症状，同时还可以缓解畏光、惧声、恶心等并发症。2、高度5-HT1B、5-HT1D受体的选择性，不会引起心肌缺血(冠状动脉痉挛、心胶痛)。3、同时作用于脑干三叉神经受体及外周三叉神经受体，具有中枢、外周双重作用。4、副作用小，不受食物影响。
复方营养混悬剂,http://img1.pharmnet.com.cn/suppliers/product_cn/202727_1.jpg,Compound Nutrition Suspension,国药准字H20003562,,用于严重创伤，消耗性疾病或手术前后营养不足的补充以及肿瘤放疗或化疗的支持治疗。,[不良反应]偶尔发生恶心、呕吐、腹涨、腹泻等胃肠道反应。[禁忌](1)三个月以下婴儿、不适于用肠内营养的疾病以及有严重消化道和吸收功能障碍的疾病禁用。(2)糖尿病、高剂量类固醇类药物治疗与其他糖代谢异常者慎用。[注意事项](1)与香豆素衍生物合用时，可影响本品中维生素K、维生素A的含量。(2)避免同时使用抗酸剂。明显的沉淀物会导致营养物质滞留胃内。(3)本品与大剂量维生素A的营养物质同时用于孕妇时应慎重，维生素A课题不应超过10000IU/天。(4)配制后应在冰箱存放，当日用完。[孕妇及哺乳期妇女用药]三个月以下婴儿禁用、妊娠期给予剂量维生素A(超过10000IU/天)可能会增加产生畸形的危险，妊娠头三个月的妇女和可能会怀孕的育龄妇女，每日维生素A剂量不应超过1000IU。[药物相互作用]尚不明确。
金匮肾气片（附桂地黄片）,http://img1.pharmnet.com.cn/suppliers/product_cn/202778_1.jpg,,国药准字Z20025624,0.27g×72片板装　0.27g×100片瓶装,温补肾阳，化气行水。用于肾虚水肿，腰膝酸软，小便不利。畏寒肢冷。,1、全国医保甲类，全国生产批文仅两家空间巨大，便于宣传，无季节性，常年可操作；2、药材名贵，纯中药制剂，无副作用；
醋酸地塞米松乳膏,http://img1.pharmnet.com.cn/suppliers/product_cn/202720_1.jpg,Dexamethasone Acetate Cream,国药准字H41020248,10克：5毫克,主要用于过敏性和自身免疫性炎症性疾病。如局限性瘙痒症、神经性皮炎、接触性皮炎、脂溢性皮炎、慢性湿疹等。,[不良反应]长期大量使用可继发细菌、真菌感染，局部可发生痤疮、酒渣样皮炎、皮肤萎缩及毛细血管扩张，并可有瘙痒、色素沉着、颜面红斑、创伤愈合障碍等反应。[禁忌]真菌性或病毒性皮肤病禁用，对本药及其它皮质类固醇过敏者禁用。[注意事项]1、并发细菌及病毒感染时，应与抗菌药物合用。2、不能长期大面积使用。[孕妇及哺乳期妇女用药]应权衡利弊后慎用，孕妇不能长期大面积或大量使用。[儿童用药]应减少药物用量，不能采用封包治疗，用药时间不宜过长。[药物相互作用]尚不明确。
丙酸氯倍他索软膏,http://img1.pharmnet.com.cn/suppliers/product_cn/202709_1.jpg,丙酸氯倍他索软膏,国药准字H20053852,10克：2毫克,适用于慢性湿疹、银屑病、扁平苔藓、盘状红斑狼疮、神经性皮炎、掌跖脓疱病等皮质类固醇外用治疗有效的皮肤病短期治疗。,[不良反应]本品用药2周的耐受性一般较好，最常见的不良反应为局部烧灼感，刺激和瘙痒，发生率约0.5%。其他较少见的不良反应为刺痛、皲裂、红斑、毛囊炎、手指麻木、皮肤萎缩及毛细血管扩张，其发生率约为0.3%。局部应用皮质类固醇尚可引起下述较少见的局部不良反应：烧灼感、痒感、刺激、皮肤干燥、多毛症、痤疮样疹、色素减退、口周皮炎、过敏性接触性皮炎、皮肤软化、继发感染、皮肤萎缩、出现皮纹、痱子。极少数病例，用皮质类固醇治疗银屑病(或停药)可使病情加重或诱发脓疱型银屑病，故需注意监测。[禁忌]对本药或基质成份过敏者，对其它皮质类固醇过敏者禁用。[注意事项]本品强效皮质类固醇外用制剂，在低至每日2克的剂量时即可抑制下丘脑-垂体-肾上腺(PHA)轴，由于全身性吸收作用，可造成可逆性下丘脑-垂体-肾上腺(PHA)轴的抑制，部分患者可出现库欣综合征、高务糖及尿糖等表现。应用强效皮质类固醇、大面积用药、较长时间用药并采用封包方法可增加系统吸收，所以，大面积皮肤应用大剂量强效皮质类固醇的患者，应定期进行尿游离可的松测定和ACTH刺激试验，评价下丘脑-垂体-肾上腺(PHA)轴的抑制情况。如发现PHA轴抑制，应停药、减少用药次数或改用低效类固醇。在停药后，此更易于出现全身毒性。如出现刺激表现，应停药并给予适当治疗。如伴有皮肤感染，必须同时使用抗感染药物。如同时使用后，感染的症状没有及时改善，应停用本药直至感染行到控制。不能应用于面部、腋部及腹股沟等皮肤折皱部位，因为即使短期应用也可造成皮肤萎缩、毛细血管扩张等不良反应。与其它皮质类固醇一样，本品不能用于酒糟鼻和口周皮炎的治疗。局部皮质类固醇一般不能用于治疗痤疮或单药治疗广泛的斑块型牛皮癣。本品用药时间不能超过处方规定的用药疗程，不可接触眼部，不能用于处方以外的其它疾病，不能包扎、覆盖。患者应向医生报告任何局部不良反应。[孕妇及哺乳期妇女用药]丙酸氯倍他索为强效皮质类固醇，可经皮吸收，兔子和小鼠皮下给药均有致畸作用，致畸作用大于低效类固醇。尚未在妊娠妇女中进行足够的、严格对照的研究，所以，在妊娠期间，只有当用药的可能获益超过对胎儿的潜在危害时才能使用本品。孕妇不能大面积、大量或长时间使用本品。局部使用皮质类固醇是否可在乳汁中测了药物尚不清楚，哺乳期妇女慎用本品。[儿童用药]儿科病人对局部皮质类固醇非常敏感，易引起下丘脑-垂体-肾上腺轴的抑制和库欣综合征。本品不推荐用于12岁以下儿科病人。[药物相互作用]尚不明确。[药物过量]局部应用本品的吸收量足以产生系统作用。应薄薄一层均匀涂于患处，一日2次，疗程不得超过2周，每周总剂量不能超过50克。不能采用封包方法。
碘化油胶丸,http://img1.pharmnet.com.cn/suppliers/product_cn/202804_1.gif,,国药准字H20003493,0.05g/粒×24粒×10板/盒,预防和治疗地方甲状腺肿、地方性克汀病,
醋酸氟轻松乳膏,http://img1.pharmnet.com.cn/suppliers/product_cn/202721_1.jpg,Fluocinonide Cream,国药准字H20058306,10克：2.5毫克,本品为肾上腺皮质激素类药。用于过敏性皮炎、异位性皮炎、接触性皮炎、脂溢性皮炎、湿疹、皮肤瘙痒症、银屑病、神经性皮炎等。,[不良反应]长期或大面积应用，可引起皮肤萎缩及毛细血管扩张，发生痤疮样皮炎和毛囊炎、口周皮炎，增加对感染的易感染性等。偶可引起变态反应性接触性皮炎。[禁忌]真菌性或病毒性皮肤病禁用，对本药及基质成份过敏者和对其他皮质类固醇过敏者禁用。[注意事项]1、用于破损皮肤，长期应用可吸收引起全身性作用。2、对并发细菌感染的皮肤病，应与相应的抗生素配用，如感染未改善应停用。3、本品不能长期大面积使用。[孕妇及哺乳期妇女用药]应权衡利弊后慎用，孕妇不能长期、大面积或大量使用。[儿童用药]由于婴儿、儿童体表面积相对较大，应尽可能减少药物用量，用药时间不宜过长且不能采用封包治疗。[药物过量]一周总量不得超过50克软膏。每日涂用多次，连用数日，可致耐药性，每日涂药次数不宜太多，可间断用药。
叶绿素铜钠胶囊（肝保TM）,http://img1.pharmnet.com.cn/suppliers/product_cn/202776_1.jpg,,国药准字H44024755,24粒/盒*200盒/件,用于急慢性肝炎及白细胞减少症。,叶绿素铜钠胶囊主要成份为叶绿素铜钠，系采用生物提炼技术从天然化合物中提纯的绿色药品。大量的文献资料及临床研究表明：叶绿素铜钠具有保肝、退黄、降酶、清病毒、升高白细胞提高肌体免疫力的作用，无任何素副作用，服用剂量小(每次服用1粒即可)，且对肠胃道有明显保护作用。用于急慢性肝炎及白细胞减少症。
醋酸曲安奈德尿素乳膏,http://img1.pharmnet.com.cn/suppliers/product_cn/202715_1.jpg,Triamcinolone Acetonide Acetate Urea Cream,国药准字H41024736,,用于扁平苔癣的对症治疗。,[禁忌]1、对本品过敏者禁用。2、局部有感染者禁用。3、孕妇，特别是妊娠3个月内的禁用。哺乳期妇女禁用。[注意事项]1、避免接触眼睛和其他黏膜(如口、鼻等)。2、避免在细嫩皮肤及面部过长时间使用。用药1周后，症状未缓解，请咨询医师。3、高血压、心脏病、骨质疏松症、肝功能不全患者慎用。4、当本品性状发生改变时禁用。5、儿童必须在成人监护下使用。6、请将此药品放在儿童不能接触的地方。[药物相互作用]如正在使用其他药品，使用本品前请咨询医师或药师。[不良反应]1、局部偶见过敏反应，如出现皮肤烧灼感、瘙痒、针刺感等。2、长期使用时可出现皮肤萎缩、毛细血管扩张，色素沉着以及继发感染，偶见过敏反应。
醋酸泼尼松乳膏,http://img1.pharmnet.com.cn/suppliers/product_cn/202714_1.jpg,Prednisone Acetate Cream,国药准字H41024853,10克：50毫克,用于过敏性皮炎、脂溢性皮炎、湿疹、瘙痒症。,[禁忌]1、对本品过敏者禁用。2、皮肤破损者禁用。3、病毒感染者(如疱疹、水痘)禁用。[注意事项]1、孕妇和哺乳期妇女慎用。2、本品勿接触眼睛。3、对并发细菌或真菌感染的皮肤病，应向医师咨询。4、连续使用不能超过4周，面部、腑下、腹股沟及外阴等细薄处连续使用不能超过2周。5、不宜大面积、长期使用。6、当本品性状发生改变时禁用。7、儿童必须在成人监护下使用。8、请将此药品放在儿童不能接触的地方。[药物相互作用]如正在使用其他药品，使用本品前请咨询医师或药师。[不良反应]长期使用可致皮肤萎缩、毛细血管扩张、色素沉着以及继发感染。偶见过敏反应。
硫软膏,http://img1.pharmnet.com.cn/suppliers/product_cn/202718_1.jpg,Suifur Ointment,国药准字H41023840,,用于疥疮、头癣、痤疮、脂溢性皮炎、酒渣鼻、单纯糠疹和慢性湿疹。,[不良反应]偶见皮肤刺激，瘙痒和烧灼感。[注意事项]1、不得与其他外用药物并用。2、避免与口、眼接触。3、涂布部位如有灼烧感、瘙痒、红肿等，应停止用药，洗净。必要时向医师咨询。4、当药品性状发生改变时禁止使用。5、儿童必须在成人监护下使用。6、请将此药品放在儿童不能接触的地方。[药物相互作用]1、本品不可与铜制品接触，防止变质。2、本品与其他治疗痤疮药、脱屑药、清洁剂、维甲酸以及其他含酒精的制剂并用，可增加对皮肤的刺激，使皮肤干燥。3、不得与含汞（水银）制剂共用，否则易变质，且增加刺激性。4、如正在使用其他药品，使用本品前请咨询医师或药师。
金黄色葡萄球菌滤液制剂（思复胜）,http://img1.pharmnet.com.cn/suppliers/product_cn/202378_1.jpg,,国药准字S10970071,400ug/2ml/支，每安瓿为2ml，含肠毒素C为10ng/ml。,适用于骨折延迟愈合或不愈合。,【不良反应】：可有局部肿胀疼痛，发热37.5～38.5℃之间，6～12小时左右自行消退，严重者或持续不退者予对症处理。【禁忌】：过敏体质，心、肾、肝功能严重不良，孕妇及局部皮肤条件不好的闭合骨折慎用。【注意事项】：1、在使用本品的过程中，特别是初次使用时，谨防过敏反应的发生；2、陈旧性骨折应用粗针头刺入骨折端或造成新创面后再注入药液；3、严禁静脉注射；4、本品应在有经验的专科医生指导下使用。
附桂风湿膏,http://img1.pharmnet.com.cn/suppliers/product_cn/202382_1.jpg,,国药准字Z13021574,7cm*10cm*2贴/袋*3袋/盒,"散寒,活血,镇痛.用于风湿性关节痛,关节扭伤.",
眼氨肽注射液,http://img1.pharmnet.com.cn/suppliers/product_cn/202377_1.jpg,,国药准字H33021880,每瓶2ml，1ml溶液含1g组织的活性成份,品用于非化脓性角膜炎、虹膜睫状体炎、中心视网膜炎、玻璃体混浊、巩膜炎等眼疾。,【不良反应】：尚未见有关不良反应报道。【禁忌】：1、对本品过敏者禁用。2、化脓性眼病患者，局部禁用。【注意事项】：1.眼敷、眼浴等适用于不宜注射用药的急性患者。2.当药品性状发生改变时禁止使用。
银杏叶滴丸,http://img1.pharmnet.com.cn/suppliers/product_cn/202241_1.jpg,,国药准字Z20040071,每丸重60mg（相当于银杏叶提取物16mg）。,活血化瘀通络。用于瘀血阻络引起的胸痹、心痛、中风、半身不遂、舌强语蹇；,
氯解磷定注射液,http://img1.pharmnet.com.cn/suppliers/product_cn/199262_1.gif,,"国药准字H22022455,国药准字H22022456",(1)2ml:0.25gxl0支 (2)2ml：0.5gxl0支,对急性有机磷杀虫剂抑制的胆碱酯酶活力有不同程度的复活作用，用于解救多种有机磷酸酯类杀虫剂的中毒。但对马拉硫磷、敌百虫、敌敌畏、乐果、甲氟磷(dimefox)、丙胺氟磷(mipafox)和八甲磷(schradan)等的中毒效果较差；对氨基甲酸酯杀虫剂所抑制的胆碱酯酶无复活作用。,
金葡菌毒素注射液,http://img1.pharmnet.com.cn/suppliers/product_cn/199266_1.gif,,国药准字H22024577,5U(125ug)：0.5mlxl0支,用于金葡菌所引起的菌血症、痤疮、痈疖肿、骨髓炎、中耳炎等。,
金泽冠心胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/199267_1.gif,,国药准字Z22020849,12粒×2板,降血脂，增加心肌营养血流量，降低心肌耗氧量。用于冠心病、心绞痛和高血脂症。,
注射用胸腺肽,http://img1.pharmnet.com.cn/suppliers/product_cn/199261_1.gif,,"国药准字H20003456,国药准字H20003457",(1)5mgx5支 (2)10mgx5支,用于治疗各种原发性或继发性T细胞缺陷病，某些自身免疫性疾病，各种细胞免疫功能低下的疾病及肿瘤的辅助治疗。包括：1．各型重症肝炎、慢性活动性肝炎、慢性迁延性肝炎及肝硬化等：2。带状疱疹、生殖器疱疹、尖锐湿疣等；3．支气管炎、支气管哮喘、肺结核预防上呼吸道感染等,
灯盏花素片,http://img1.pharmnet.com.cn/suppliers/product_cn/199260_1.gif,,国药准字Z22020868,10片x2板,活血化瘀。通络止痛。用于中风后遗症，冠心病，心绞痛。,
归参补血片,http://img1.pharmnet.com.cn/suppliers/product_cn/199258_1.gif,,国药准字Z22022734,12片x6板,温补脾肾，益气荣血。用于脾肾两虚引起的虚劳贫血(缺铁性贫血)，面色苍白，体弱肢冷，心悸，发斑(原发性血小板减少性紫癜)。,
七叶神安片,http://img1.pharmnet.com.cn/suppliers/product_cn/199254_1.gif,,"国药准字Z22021735,国药准字Z22021736",12片x2板,益气安神，活血止痛，止血。用于心气不足，失眠，心悸，胸痹心痛，或肿瘤，痈肿疮毒及出血症。,
脑心舒口服液,http://img1.pharmnet.com.cn/suppliers/product_cn/199252_1.gif,,国药准字Z22020812,10mlxl0支,滋补强壮，镇静安神。用于身体虚弱，心神不安，失眠多梦，神经衰弱，头痛眩晕，属上述证候者。,
仙灵脾片,http://img1.pharmnet.com.cn/suppliers/product_cn/199253_1.gif,,国药准字Z20025993,12片x4板,补肾强心，壮阳通痹。用于阳萎遗精，筋骨痿软，胸闷头晕，气短乏力，风湿痹痛等(也用于性机能减退的阳痿遗精，也可用于冠心病，更年期高血压，胸闷气短及风湿症)。,
泻肺定喘片,http://img1.pharmnet.com.cn/suppliers/product_cn/199256_1.gif,,国药准字Z20025445,12片x3板,泻肺纳气，止咳定喘。用于肺气壅塞，肾不纳气所致的喘咳。,
舒冠片,http://img1.pharmnet.com.cn/suppliers/product_cn/199246_1.gif,,国药准字Z22021720,12片x5板,养阴活血，益气温阳。用于防治冠心病、心绞痛，动脉粥样硬化，高脂血症及抗血栓形成等。,
决明降脂片,http://img1.pharmnet.com.cn/suppliers/product_cn/199245_1.gif,,国药准字Z22020809,12片x5板,降血脂，降血清胆固醇。用于冠心病或慢性肝炎所引起的高脂血症、血清胆固醇增高症。,
疗肺宁片,http://img1.pharmnet.com.cn/suppliers/product_cn/199244_1.gif,,国药准字Z22020851,100片／瓶,润肺，清热，止血。用于肺结核。可与其他抗结核药物合并使用。,
羚竺散,http://img1.pharmnet.com.cn/suppliers/product_cn/199247_1.gif,,国药准字Z22020707,1.5gx20瓶,清热解毒，通宣理肺，化痰镇惊。用于热毒壅肺引起的肺炎，支气管炎等。,
精制冠心片,http://img1.pharmnet.com.cn/suppliers/product_cn/199242_1.gif,,国药准字Z22021717,100片／瓶,活血化瘀。用于冠心病，心绞痛。,
新妇康,http://img1.pharmnet.com.cn/suppliers/product_cn/199641_1.gif,,国药准字Z20054453,每片重0.9克,清热利湿，化瘀止痛。用于湿热瘀阻所致妇女带下，色黄质粘稠或如豆渣状，气臭，少腹、腰骶疼痛。舌暗苔黄腻等症，及慢性盆腔炎见上述证候者。,【成份】败酱草、薏苡仁、川楝子、柴胡、黄芩、赤芍、陈皮。【性状】本品为薄膜衣片，除去包衣后，显深褐色；味微苦。
益肺胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/199640_1.gif,,国药准字Z50020645,每粒装0.3g,补肾益肺、清热化痰、止咳平喘。用于久病咳喘、胸满多痰。,【成份】红参、蛤蚧、苦杏仁(炒)、桑白皮、川贝、茯苓、知母、甘草。【性状】本品为胶囊剂，内容物显黄棕色；味甘，微苦。
消炎退热颗粒,http://img1.pharmnet.com.cn/suppliers/product_cn/199637_1.gif,,国药准字Z20003001,每袋装10克（相当于总药材10克） 件包装规格：100盒/件,清热解毒、凉血消肿。用于风热感冒症见发热，上呼吸道感染，咽喉肿痛及各种疮疖肿痛。,【成份】大青叶、蒲公英、紫花地丁、甘草。【性状】本品为黄棕色颗粒：味甜，微苦。
理脑栓TM消栓通络片,http://img1.pharmnet.com.cn/suppliers/product_cn/199639_1.gif,,国药准字Z20003338,基片重0.37克,活血化瘀，温经通络。用于瘀血阻络所致的中风、症见神情呆滞、语言謇涩、手足发凉、肢体疼痛；缺血性中风及高脂血症见上述证候者。,【成份】川芎、丹参、黄芪、泽泻、三七、槐花、桂枝、郁金、木香、冰片、山楂。【性状】本品为糖衣片，除去包衣后显褐色；气香，味微苦。【作用类别】本品为中风恢复期类非处方药药品。
舒胸片,http://img1.pharmnet.com.cn/suppliers/product_cn/199636_1.gif,,国药准字Z20044113,片芯重0.25g,"活血，祛瘀，止痛。用于瘀血阻滞,胸痹心痛,跌打损伤,瘀血肿痛;冠心病，心绞痛，心律失常，软组织挫伤。",【成份】三七、红花、川芎。
双唑泰阴道泡腾片,http://img1.pharmnet.com.cn/suppliers/product_cn/199559_1.jpg,,国药准字H20044717,7片/盒,用于细菌性阴道炎、霉菌性阴道炎、滴虫性阴道炎，用于厌氧菌、霉菌及滴虫性阴道炎。,
心安胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/199492_1.jpg,,国药准字Z19993057,0.3g,扩张冠状血脉，改善心肌供血量，降低血脂。用于治疗冠心病、心绞痛、胸闷心悸、高血压等。,
健胃消炎颗粒无糖型,http://img1.pharmnet.com.cn/suppliers/product_cn/199445_1.gif,,国药准字Z32020496,每袋重5克,健脾和胃，理气活血。用于脾胃不和所致的上腹疼痛、痞满纳差以及慢性胃炎见上述症候者,【成分】党参、白术麸炒、白芨、白芍、大黄、赤芍、丹参、川子、木香、茯苓、乌梅、青黛等【注意事项】1、忌食生冷油腻不易消化食物。2、不适用于脾胃阴虚，主要表现为口干，舌红少津，大便干。3、脾胃虚寒或寒湿中阻者不宜服用。【贮藏】密封【有效期】两年
钠石灰,http://img1.pharmnet.com.cn/suppliers/product_cn/199634_1.JPG,,国药准字H50021688,,常用作干燥剂和二氧化碳吸收剂等。也可用于装备AHG型氧气呼吸器，是医院抢救危重病人的必备药品。,性状：本产品系氢氧化钙、氢氧化钠及特种辅助剂混合物，并加有指示剂，外形为粉红色颗粒，极易吸收二氧化碳。
溃疡胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/199524_1.bmp,,国药准字Z14021685,每粒装0.3g,制酸止痛，生肌收敛。用于胃脘疼痛，呕恶泛酸，胃及十二指肠溃疡。,[性状]本品为胶囊剂，内容物为灰白色的颗粒；味微苦。[成份]瓦楞子、仙鹤草、水红花子、枯矾、鸡蛋壳、陈皮、珍珠粉。[贮藏]密封。[有效期]三年。
狭叶红景天片,http://img1.pharmnet.com.cn/suppliers/product_cn/199491_1.jpg,,国药准字B20050013,0.2g,治疗的心血管疾病,
黄葵胶囊,http://img1.pharmnet.com.cn/suppliers/product_cn/199440_1.gif,,国药准字Z19990040,每袋装0.5克,清利湿热，解毒消肿。用于慢性肾炎之湿热症，症见：浮肿、腰痛，蛋白尿、血尿、舌苔黄腻等,【不良反应】个别患者用药后出现上腹部胀满不适【禁忌】孕妇忌服【注意事项】本品宜饭后服用【贮藏】密封【有效期】二年
健胃消炎颗粒,http://img1.pharmnet.com.cn/suppliers/product_cn/199444_1.gif,,国药准字Z32020497,每袋重10克,健脾和胃，理气活血。用于脾胃不和所致的上腹疼痛、痞满纳差以及慢性胃炎见上述症者。,【成分】党参、白术(麸炒)、白芨、白芍、大黄、赤芍、丹参、川子、木香、茯苓、乌梅、青黛等【不良反应】尚不明确【禁忌】孕妇忌服【注意事项】1、忌食生冷油腻不易消化食物。2、不适用于脾胃阴虚，主要表现为口干，舌红少津，大便干。3、小儿、年老体弱及糖尿病患者，应在医师指导下服用。4、药品性状发生改变时禁止服用。5、儿童必须在成人监护下使用。6、请将此药品放在儿童不能接触的地方。7、如正在服用其他药品，使用本品前请咨询医师或药师【贮藏】密封【有效期】二年
复方无花果含片,http://img1.pharmnet.com.cn/suppliers/product_cn/199430_1.gif,,国药准字Z20040129,每片重1.2g,清热解毒，消肿利咽，适用于急性咽炎（及慢性咽炎急性发作期）风热证及肺胃蕴热证，具有咽部疼痛、干燥、灼热、口渴欲饮、发热或微恶寒，食欲不振，大便干，舌红苔黄，脉数等症状者。,【成分】无花果、土牛膝、金银花、牡丹皮、射干、麦冬、南沙参、甘草。【禁忌】孕妇禁用【贮藏】密封，置阴凉干燥处。【有效期】暂定一年半
